country,state,brewery_type,brewery_count,unique_cities,avg_latitude,avg_longitude,pct_with_coordinates,pct_with_address,aggregation_date
Australia,ACT,micro,14,3,-35.2887,149.1522,100.0,100.0,2025-10-20
Australia,NSW,micro,282,88,-33.063,151.2126,100.0,98.58,2025-10-20
Australia,NSW,large,6,3,-32.1463,150.2275,100.0,100.0,2025-10-20
Australia,NT,micro,6,3,-16.2993,132.0631,100.0,100.0,2025-10-20
Australia,QLD,micro,158,59,-26.1034,152.1311,100.0,100.0,2025-10-20
Australia,QLD,large,4,2,-27.7977,153.2586,100.0,100.0,2025-10-20
Australia,SA,micro,86,34,-35.0185,138.6701,100.0,95.35,2025-10-20
Australia,SA,large,8,4,-35.0458,138.5554,100.0,100.0,2025-10-20
Australia,TAS,micro,48,20,-42.0742,147.1257,100.0,100.0,2025-10-20
Australia,TAS,large,4,2,-42.1639,147.2159,100.0,100.0,2025-10-20
Australia,VIC,micro,302,86,-37.7412,145.027,100.0,99.34,2025-10-20
Australia,VIC,large,16,6,-37.9103,144.8279,100.0,87.5,2025-10-20
Australia,VIC,regional,2,1,-37.8286,144.9371,100.0,100.0,2025-10-20
Australia,WA,micro,86,38,-31.7789,115.7887,100.0,97.67,2025-10-20
Australia,WA,large,6,3,-31.9017,115.9323,100.0,100.0,2025-10-20
Austria,K%C3%A4rnten,large,4,2,46.6292,14.0692,100.0,100.0,2025-10-20
Austria,K%C3%A4rnten,nano,2,1,46.8399,14.356,100.0,100.0,2025-10-20
Austria,Niedersterreich,large,4,2,48.1411,15.8095,100.0,100.0,2025-10-20
Austria,Ober%C3%B6sterreich,large,2,1,48.0368,13.504,100.0,100.0,2025-10-20
Austria,Ober%C3%B6sterreich,nano,2,1,48.4986,13.7346,100.0,100.0,2025-10-20
Austria,Salzburg,large,2,1,47.7941,13.0203,100.0,100.0,2025-10-20
Austria,Steiermark,large,8,4,47.2234,14.594,100.0,100.0,2025-10-20
Austria,Steiermark,bar,4,2,47.0976,15.5481,100.0,100.0,2025-10-20
Austria,Steiermark,brewpub,2,1,46.9129,15.4552,100.0,100.0,2025-10-20
England,East%20Sussex,micro,42,13,50.9125,0.1028,100.0,100.0,2025-10-20
England,East%20Sussex,brewpub,10,4,50.8207,0.0872,100.0,100.0,2025-10-20
England,East%20Sussex,taproom,8,3,50.8874,0.1468,100.0,100.0,2025-10-20
England,East%20Sussex,large,2,1,50.8742,0.0175,100.0,100.0,2025-10-20
England,West%20Sussex,micro,38,11,50.9441,-0.3602,100.0,100.0,2025-10-20
England,West%20Sussex,taproom,14,4,51.0097,-0.34,100.0,100.0,2025-10-20
England,West%20Sussex,brewpub,10,5,50.9014,-0.4281,100.0,100.0,2025-10-20
France,Bouche%20du%20Rh%C3%B4ne,micro,6,2,43.3399,5.3386,100.0,100.0,2025-10-20
Germany,Berlin,bar,10,1,13.4109,52.5123,100.0,100.0,2025-10-20
Germany,Berlin,beergarden,6,1,13.3952,52.5082,100.0,100.0,2025-10-20
Germany,Berlin,large,4,1,13.4169,52.4995,100.0,100.0,2025-10-20
Ireland,Carlow,micro,2,1,52.6966,-6.9784,100.0,100.0,2025-10-20
Ireland,Clare,brewpub,2,1,53.0284,-9.2928,100.0,100.0,2025-10-20
Ireland,Cork,micro,10,5,51.9555,-8.4567,100.0,100.0,2025-10-20
Ireland,Cork,brewpub,6,3,51.767,-8.7602,100.0,100.0,2025-10-20
Ireland,Cork,large,4,1,51.9037,-8.4751,100.0,100.0,2025-10-20
Ireland,Cork,regional,2,1,51.9006,-8.4755,100.0,100.0,2025-10-20
Ireland,Donegal,micro,6,3,54.9609,-7.5459,100.0,100.0,2025-10-20
Ireland,Donegal,regional,2,1,54.4977,-8.2142,100.0,100.0,2025-10-20
Ireland,Dublin,micro,20,4,53.346,-6.296,100.0,100.0,2025-10-20
Ireland,Dublin,brewpub,6,3,53.3326,-6.2966,100.0,100.0,2025-10-20
Ireland,Dublin,regional,4,1,53.3334,-6.3083,100.0,100.0,2025-10-20
Ireland,Dublin,large,2,1,53.3419,-6.2867,100.0,100.0,2025-10-20
Ireland,Galway,regional,4,1,53.2817,-8.9291,100.0,100.0,2025-10-20
Ireland,Galway,micro,2,1,53.4871,-10.0204,100.0,100.0,2025-10-20
Ireland,Kerry,micro,4,1,52.0973,-9.5329,100.0,100.0,2025-10-20
